Time,Rla,Rlo,RCPI,DistanceDelta(m),TimeDelta(s),Speed(km/h)
11:34:20,37.4040041,127.1046397,102,0.0,1.0,0.0
11:34:21,37.4040041,127.1046397,100,0.0,1.0,0.0
11:34:22,37.4040041,127.1046397,100,0.0,1.0,0.0
11:34:23,37.4040041,127.1046397,104,0.0,1.0,0.0
11:34:24,37.4040041,127.1046397,102,0.0,1.0,0.0
11:34:25,37.4040041,127.1046397,98,0.0,1.0,0.0
11:34:26,37.4040041,127.1046397,102,0.0,1.0,0.0
11:34:27,37.4040041,127.1046397,100,0.0,1.0,0.0
11:34:28,37.4040041,127.1046397,104,0.0,1.0,0.0
11:34:29,37.4040041,127.1046397,104,0.0,1.0,0.0
11:34:30,37.4040041,127.1046397,98,0.0,1.0,0.0
11:34:31,37.4040041,127.1046397,98,0.0,1.0,0.0
11:34:32,37.4040041,127.1046397,102,0.0,1.0,0.0
11:34:33,37.4040041,127.1046397,100,0.0,1.0,0.0
11:34:34,37.4040041,127.1046397,102,0.0,1.0,0.0
11:34:35,37.4040041,127.1046397,98,0.0,1.0,0.0
11:34:36,37.4040041,127.1046397,100,0.0,1.0,0.0
11:34:37,37.4040041,127.1046397,102,0.0,1.0,0.0
11:34:38,37.4040041,127.1046397,100,0.0,1.0,0.0
11:34:39,37.4040041,127.1046397,104,0.0,1.0,0.0
11:34:40,37.4040041,127.1046397,100,0.0,1.0,0.0
11:34:41,37.4040041,127.1046397,102,0.0,1.0,0.0
11:34:42,37.4040041,127.1046397,98,0.0,1.0,0.0
11:34:43,37.4040041,127.1046397,98,0.0,1.0,0.0
11:34:44,37.4040041,127.1046397,98,0.0,1.0,0.0
11:34:45,37.4040041,127.1046397,98,0.0,1.0,0.0
11:34:46,37.4040041,127.1046397,114,0.0,1.0,0.0
11:34:47,37.4040041,127.1046397,96,0.0,1.0,0.0
11:34:48,37.4040041,127.1046397,102,0.0,1.0,0.0
11:34:49,37.4040041,127.1046397,96,0.0,1.0,0.0
11:34:50,37.4040041,127.1046397,100,0.0,1.0,0.0
11:34:51,37.4040041,127.1046397,98,0.0,1.0,0.0
11:34:52,37.4040041,127.1046397,168,0.0,1.0,0.0
11:34:53,37.4040041,127.1046397,144,0.0,1.0,0.0
11:34:54,37.4040041,127.1046397,100,0.0,1.0,0.0
11:34:55,37.4040041,127.1046397,96,0.0,1.0,0.0
11:34:56,37.4040041,127.1046397,98,0.0,1.0,0.0
11:34:57,37.4040041,127.1046397,100,0.0,1.0,0.0
11:34:58,37.4040041,127.1046397,98,0.0,1.0,0.0
11:34:59,37.4040041,127.1046397,98,0.0,1.0,0.0
11:35:00,37.4040041,127.1046397,100,0.0,1.0,0.0
11:35:01,37.4040041,127.1046397,100,0.0,1.0,0.0
11:35:02,37.4040041,127.1046397,100,0.0,1.0,0.0
11:35:03,37.4040041,127.1046397,98,0.0,1.0,0.0
11:35:04,37.4040041,127.1046397,98,0.0,1.0,0.0
11:35:05,37.4040041,127.1046397,98,0.0,1.0,0.0
11:35:06,37.4040041,127.1046397,100,0.0,1.0,0.0
11:35:07,37.4040041,127.1046397,98,0.0,1.0,0.0
11:35:08,37.4040041,127.1046397,116,0.0,1.0,0.0
11:35:09,37.4040041,127.1046397,100,0.0,1.0,0.0
11:35:10,37.4040041,127.1046397,100,0.0,1.0,0.0
11:35:11,37.4040041,127.1046397,100,0.0,1.0,0.0
11:35:12,37.4040041,127.1046397,96,0.0,1.0,0.0
11:35:13,37.4040041,127.1046397,98,0.0,1.0,0.0
11:35:14,37.4040041,127.1046397,102,0.0,1.0,0.0
11:35:15,37.4040041,127.1046397,100,0.0,1.0,0.0
11:35:16,37.4040041,127.1046397,102,0.0,1.0,0.0
11:35:17,37.4040041,127.1046397,94,0.0,1.0,0.0
11:35:18,37.4040041,127.1046397,100,0.0,1.0,0.0
11:35:19,37.4040041,127.1046397,96,0.0,1.0,0.0
11:35:20,37.4040041,127.1046397,98,0.0,1.0,0.0
11:35:21,37.4040041,127.1046397,98,0.0,1.0,0.0
11:35:22,37.4040041,127.1046397,102,0.0,1.0,0.0
11:35:23,37.4040041,127.1046397,98,0.0,1.0,0.0
11:35:24,37.4040041,127.1046397,98,0.0,1.0,0.0
11:35:25,37.4040041,127.1046397,100,0.0,1.0,0.0
11:35:26,37.4040041,127.1046397,100,0.0,1.0,0.0
11:35:27,37.4040041,127.1046397,98,0.0,1.0,0.0
11:35:28,37.4040041,127.1046397,96,0.0,1.0,0.0
11:35:29,37.4040041,127.1046397,100,0.0,1.0,0.0
11:35:30,37.4040041,127.1046397,98,0.0,1.0,0.0
11:35:31,37.4040041,127.1046397,98,0.0,1.0,0.0
11:35:32,37.4040041,127.1046397,98,0.0,1.0,0.0
11:35:33,37.4040041,127.1046397,94,0.0,1.0,0.0
11:35:34,37.4040041,127.1046397,142,0.0,1.0,0.0
11:35:35,37.4040041,127.1046397,96,0.0,1.0,0.0
11:35:36,37.4040041,127.1046397,98,0.0,1.0,0.0
11:35:37,37.4040041,127.1046397,98,0.0,1.0,0.0
11:35:38,37.4040041,127.1046397,98,0.0,1.0,0.0
11:35:39,37.4040041,127.1046397,98,0.0,1.0,0.0
11:35:40,37.4040041,127.1046397,98,0.0,1.0,0.0
11:35:41,37.4040041,127.1046397,98,0.0,1.0,0.0
11:35:42,37.4040041,127.1046397,100,0.0,1.0,0.0
11:35:43,37.4040041,127.1046397,98,0.0,1.0,0.0
11:35:44,37.4040041,127.1046397,100,0.0,1.0,0.0
11:35:45,37.4040041,127.1046397,100,0.0,1.0,0.0
11:35:46,37.4040041,127.1046397,142,0.0,1.0,0.0
11:35:47,37.4040041,127.1046397,100,0.0,1.0,0.0
11:35:48,37.4040041,127.1046397,96,0.0,1.0,0.0
11:35:49,37.4040041,127.1046397,98,0.0,1.0,0.0
11:35:50,37.4040041,127.1046397,98,0.0,1.0,0.0
11:35:51,37.4040041,127.1046397,98,0.0,1.0,0.0
11:35:52,37.4040041,127.1046397,98,0.0,1.0,0.0
11:35:53,37.4040041,127.1046397,98,0.0,1.0,0.0
11:35:54,37.4040041,127.1046397,98,0.0,1.0,0.0
11:35:55,37.4040041,127.1046397,96,0.0,1.0,0.0
11:35:56,37.4040041,127.1046397,98,0.0,1.0,0.0
11:35:57,37.4040041,127.1046397,100,0.0,1.0,0.0
11:35:58,37.4040041,127.1046397,98,0.0,1.0,0.0
11:35:59,37.4040041,127.1046397,98,0.0,1.0,0.0
11:36:00,37.4040041,127.1046397,100,0.0,1.0,0.0
11:36:01,37.4040041,127.1046397,98,0.0,1.0,0.0
11:36:02,37.4040041,127.1046397,98,0.0,1.0,0.0
11:36:03,37.4040041,127.1046397,98,0.0,1.0,0.0
11:36:04,37.4040041,127.1046397,110,0.0,1.0,0.0
11:36:05,37.4040041,127.1046397,96,0.0,1.0,0.0
11:36:06,37.4040041,127.1046397,96,0.0,1.0,0.0
11:36:07,37.4040041,127.1046397,98,0.0,1.0,0.0
11:36:08,37.4040041,127.1046397,100,0.0,1.0,0.0
11:36:09,37.4040041,127.1046397,100,0.0,1.0,0.0
11:36:10,37.4040041,127.1046397,98,0.0,1.0,0.0
11:36:11,37.4040041,127.1046397,96,0.0,1.0,0.0
11:36:12,37.4040041,127.1046397,96,0.0,1.0,0.0
11:36:13,37.4040041,127.1046397,98,0.0,1.0,0.0
11:36:14,37.4040041,127.1046397,100,0.0,1.0,0.0
11:36:15,37.4040041,127.1046397,100,0.0,1.0,0.0
11:36:16,37.4040041,127.1046397,100,0.0,1.0,0.0
11:36:17,37.4040041,127.1046397,98,0.0,1.0,0.0
11:36:18,37.4040041,127.1046397,142,0.0,1.0,0.0
11:36:19,37.4040041,127.1046397,100,0.0,1.0,0.0
11:36:20,37.4040041,127.1046397,98,0.0,1.0,0.0
11:36:21,37.4040041,127.1046397,100,0.0,1.0,0.0
11:36:22,37.4040041,127.1046397,100,0.0,1.0,0.0
11:36:23,37.4040041,127.1046397,100,0.0,1.0,0.0
11:36:24,37.4040041,127.1046397,98,0.0,1.0,0.0
11:36:25,37.4040041,127.1046397,100,0.0,1.0,0.0
11:36:26,37.4040041,127.1046397,102,0.0,1.0,0.0
11:36:27,37.4040041,127.1046397,100,0.0,1.0,0.0
11:36:28,37.4040041,127.1046397,96,0.0,1.0,0.0
11:36:29,37.4040041,127.1046397,112,0.0,1.0,0.0
